en,fa
spike,میخ دار کردن
spikelet,سنبلک
spikelike,بشکل میخ
spiky,پرگاز
spile,سوراخ گیری
spin,چرخانیدن
spinach,اسفناج
spinal,مازووار
spinal column,ستون مهره
spinal cord,نخاع شوکی
spindle,دوک
spindly,دوک مانند
spine,مهره های پشت
spinner,گرداننده
spinneret,نخ ریس
spinning,نخ ریسی
spinose,مهره مانند
spinosity,وضعیت غامض
spinous,پراز خار
spinule,چرخ خاردار
spiny,مهره مانند
spiral,مارپیچ رفتن
spiral spring,فنر مارپیچ
spire,ساقه باریک
spirit,بسرخلق آوردن
spirit of wine,عرق خالص
spiritless,بی رویه
spiritous,مشتق ازالکل
spirits,تنگ و تا
spirits of wine,عرق خالص
spiritual,بطور روحانی
spiritual guide,مرشد
spiritual matters,روحیات
spirituality,عالم روحانی
spiritualize,روحانی کردن
spiritually,بطور روحانی
spiritusoity,کیفیت معنوی
spirograph,دم نگار
spirography,دم نگاری
spirometer,دم سنج
spirometry,دم سنجی
spit,اخ تف کردن
spite,کینه ورزیدن
spiteful,غرضآلود
spitefull,مغرضانه
spitefully,مغرضانه
spitting,تفو
spittoon,سلف دان
splatter,چلپ چلوپ کردن
spleen,سپرز
splendent,پر فروغ
splendid,پرشکوه
splendor,زرق وبرق
splendour,زرق وبرق
splenic,اسپرزی
spline,لبه کام وزبانه
splint,آهن نبشی
splintery,ریز ریز
split,شکاف ایجاد کردن
split hairs,مته بخشخاش گذاشتن
split peas,لپه
splitter,شکاف دهنده
splitting,بزل
splitting of the moon,شق القمر
splotch,لکه لکه کردن
splurge,ریخت وپاش
splutter,اهن وتلپ کردن
spluttery,تفی
spoil,پوسیده شدن
spoiled,عزیز دردانه
spoiler,فاسد سازنده
spoils,غنایم
spoilsman,فاسد سازنده
spoke,میله دار کردن
spokesman,سخن گو
sponge,ابر حمام
spongecake,کماج
sponging on others,لفت و لیس
spongy,نرم ومتخلخل
sponsor,التزام دهنده
sponsorship,عهدهگیری
spontaneous,خود انگیز
spontaneously,خودبه خود
spoon,قاشق
spoonerism,لقلقه
spor,اسپر
sporadic,گاهبگاه
sporangium,هاگدان
spore,هاگ آوردن
sporogenesis,هاگ آوری
sporogenic,هاگ زا
sporogenous,هاگ زا
sporogeny,هاگ آوری
sporogony,هاگ آوری
sport,نمایش تفریحی
sport car,اتومبیل کورسی
sportiveness,لهو
sports,ورزش
sports car,اتومبیل کورسی
sports equipment,اسباب ورزشی
sportsman,ورزشکار جوانمرد
sportsmanship,ورزش دوستی
sporty,ورزشکارانه
sporulation,تولید هاگ
spot,گله
spotless,بی لکه
spotlight,چراغ نورافکن
spots,نقاط
spotted,خالدار
spotter,کاشف جنایات
spouse,همخواب
spout,فواره زدن
spouter,بیرون جهنده
sprain,ره به رگ کردن
sprained,رگ به رگ
sprawl,منظم پخش شدن
sprawling,گل و گشاد
spray,پاشیده شدن
spray poison,سمپاشی کردن
sprayer,سم پاش
spraying gun,تلمبه سم پاشی
spread,رو به گسترش بودن
spread out,ولو کردن
spreader,منتشر کننده
spreading,توسعه
sprig,شاخوبرگ در آوردن
sprightful,بانشاط
spring,حالت فنری داشتن
spring growth,رشد بهاری
spring onion,پیازچه
spring suiting,دمیسزون
springboard,واگن سبک
springer,گاو آبستن
springhead,سرچشمه
springless,بی فنر
springlet,فنر کوچک
springs,عیون
springtide,بهاران
springtime,بهار زندگانی
springy,قابل ارتجاع
sprinkle,آب پاشی کردن
sprinkled,افشانده
sprinkler,گلاب پاش
sprinkling water,آب پاشی
sprint,دوسرعت
sprout,جوانه زدن
spruce,صنوبر
sprung up,رسته
spumy,کف دار
spun,تابداده
spunk,آتشزنه
spunous,کف دار
spur,مهمیز زدن
spurge olive,ماذریون
spurrey,مهمیزدار
spy,جاسوسی کردن
spying,جاسوسی
squab,چاق وچله
squabber,پیشجواب
squabble,داد و بیداد
squad,جوخه
squadron,بهادران
squalid,بد ظاهر
squall,بوران
squalor,کثافت کاری
squama,خرشف
squamous,فلس دار
squander,بر باد دادن
squandering,اتلاف
square,میدان
square knot,گره مربر
square meter,متر مربع
square root,ریشه دوم
square shouldered,چارشانه
square toed,قدیمی مسلک
squash,کوبیدن و نرم کردن
squashy,لهشونده
squat,قوز کردن
squatting,چندک
squeak,جیر جیر
squeal,جیغ ممتمد
squeamish,نازک نارنجی
squeeze,آب میوه گرفتن
squeezed,فشرده
squeezer,فشاردهنده
squeezing,فشردگی
squib,فشفشه درکردن
squint,چپ نگاهکردن
squint eye,چپ چشم
squinter eye,چپ چشم
squint-eyed,احول
squire,ملاک عمده
squirish,سلحشور وار
squirm,ناراحتی نشان دادن
squirrel,سنجاب
squirt,فواره کوچک
Sri Lanka,سریلانکا
Srilankan,سری لانکایی
sserry,بهم چسبیدن
St. Vitus dance,داء الرقص
stab,زخم چاقو
stabber,سخمهزن
stabbing,سخمهزنی
stability,پایداری
stabilization,پایاسازی
stabilize,استوار کردن
stabilized,ثابت شده
stabilizer,پایاساز
stable,باپشتکار
stableness,استحکام
stack,رویهم قرار دادن
stack indicator,نماینده پشته
stack pile,چاتمه
stack pointer,اشارهگر پشته
stackable,توده کردنی
stacker,پشتهکن
stacking,پشتهسازی
staddle,نقطه اتکاء
stadium,استادیوم ورزشی
staff,اعضا اداری
staff of life,مایه حیات
staffer,سردبیر روزنامه
stag,آهو
stage,مراحل
stage by stage,وهله بوهله
stage manager,کارگردان نمایش
stagecoach,دلیجان
stagger,تلو تلو خوردن
staggering,تلوتلو
staging,برصحنه آوری
stagirite,ارسطو
stagnance,کسادی
stagnant,بی جنبش
stagnant water,آب راکد
stagnate,کساد شدن
stagnation,بی جنبشی
stain,لکه دار کردن
stainable,زنگ بردار
stained,لکهدار
stained glass,شیشه رنگی
stainless,ضد زنگ
stair,پله
stairs,پلکان
stairway,راه پله
stake,در قمار
staking,تیرکوبی
stalagmite,استلاگمیت
stalagtite,استلاگتیت
stale,بوی ناگرفته
stalemate,پات
staleness,بیاتی
Stalin,استالین
stalk,ساقه
stalker,کسیکه میخرامد
stalking horse,وسیله استتار
stalky,ساقه دار
stall,بی نتیجه کردن
stallion,اسب نر
stalwart,اندام دار
stamina,نیروی حیاتی
staminal,با استقامت
stammer,بریدی بریده هرف زدن
stammered,لکنتی
stammerer,الکن
stamp,پابزمین کوبیدن
stamp collection,مجموعه تمبر
stamp collector,تمبر شناس
stamped,ممهور
stampede,لگد کردن
stampededness,رمیدگی
stamper,اسباب کوبیدن
stamping,باسمهزنی
stance,طرز ایستادن
stanchion,مهار یامحدود
stand,ایستادن
stand in,جانشین هنرپیشه شدن
stand in line,بخط ایستادن
stand off,محشور نبودن
stand out,سر برافراشتن
stand up,بر سر پا ایستادن
standard,استاندارد
standard bearer,علمدار
standard size,اندازه معین
standardize,همگون کردن
standards,ضوابط
standing,ایستاده
standing order,امریه نظامی
standing property,اعیانی
standing regulations,مقررات جاری
standoffish,کناره گیر
standpoint,نقطه نظر
standstill,لنگی
staned,لکدار
Stanford,استانفورد
Stanley,استنلی
stannary,قلع کاری
stanza,قطعه بندگردان
stapes,استخوان رکابی
staple,کالایاصلی بازار
staple crop,محصول عمده
stapler,ماشین مفتول دوزی
stapling,مفتول دوزی
star,ستاره
Star of Bethlehem,حشیش البرق
star spangled,ستاره نشان
starch,آهار زدن
starched,آهاردار
starchy,شبیه نشاسته
stardom,ستارگی
stare,زل زل نگاه کردن
staringly,خیره خیره
starless,بی ستاره
starlet,ستاره کوره
starlight,نور ستاره
starling,هزار دستان
starry,پرستاره
starry eyed,خیال اندیش
stars,روشنان
star-shaped,ستارهای
start,شروع کردن
start a fight,داد و بیداد راه انداختن
start a fire,آتش روشن کردن
start a movement,جنبش در آوردن
start a new life again,جوانی را از سر گرفتن
start a procession,دسته راه انداختن
start a quarrel,نزاع بر پا کردن
start awork,دست بکار شدن
start doing,به کاری دست زدن
start on a journey,عازم شدن
start running,به کار افتادن
start shouting,فریاد سر دادن
start up,براه انداختن
start walking,به راه افتادن
start working,شروع بکار کردن
starter,راه انداز
startle,هول دادن
starvation,قحطی زدگی
starve,گرسنگی خوردن
starveling,قحطی زده
state,اظهار کردن
state accountant,مستوفی
state guard,ارتش ایالتی
state of being included,مشمولیت
state prison,زندان دولتی
state respectfully,معروظ داشتن
state university,دانشگاه دولتی
statecraft,کشور داری
statehouse,مجلس ایالتی
stateless,بی دولت
statement,اعلامیه
statesmanship,دنیاداری
statgnate,گندیده شده
static,بی حرکت
stating,اشعار
stating that,مشعر بر اینکه
station,ایستگاه
station house,مرکز کلانتری
station wagon,استیشن واگن
stationery,لوازم التحریر
statistical,احسائی
statistician,آمار شناس
statistics,ارقام
Staton Island,استاتن آیلند
statuary,هیکل تراشی
statue,تندیس
statuesque,شبیه مجسمه
statuette,تندیسک
stature,قدر وقیمت
status quo,وضع کنونی
statute book,کتاب قانون
statute of limitation,قانون مرور زمان
statutory,طبق قانون
staunch,بندآوردن
stave,با چماق زدن
stay,ماندن
stay at home,خانه نشین شدن
stay permanently,ماندگار شدن
stay unemployed,بیکار ماندن
stay up,بیدار ماندن
stay up all night,شب زندهداری کردن
stay young,جوان ماندن
stayer,نگاهدار
staying,اقامت
stead,فایده
steadfast,استوار
steadier,استوارتر
steadiness,پابرجای
steady,ساکن شدن
steal,به سرقت بردن
steal a look,نگاه دزدانه کردن
stealer,مرتکب سرقت
stealing,استراق
stealthily,یواشکی
stealthy,زیرجلکی
steam,بخار کردن
steam boiler,دیگ بخار
steam engine,ماشین بخار
steam roller,جاده صاف کن
steamboat,قایق بخاری
steamed rice,دمی
steamer,ماشین بخار
steaming,دم دار
steamy,پر حرارت
steed,وسیله نقلیه
steel,فولادین
steel engraving,گراور فولادی
steel manufacturer,پولادگر
steel manufacturing,پولادگری
steel mill,کارخانه ذوبآهن
steel tools,ابزار پولادین
steelwork,فولاد کاری
steelworker,آهن کار
steelwrker,پولادگر
steem engine,ماشین بخار
steep,شیبدار
steepen,سراشیب کردن
steeple,ساختمان بلند
steerable,هدایت کردنی
steerage,سکان
steerer,شراعبان
steering,رل
steering knuckle,سگدست
steering wheel,فرمان اتومبیل
steersman,سکاندار
Stefan,استفان
stelar,ستون وار
stele,ربودن
stellar,شبیه ستاره
stellate,ستاره مانند
stelliform,ستاره وار
stem,ساقه دار کردن
stemless,بدونساقه
stemma,نسب نامه
stemmed,پرساقه
stemmy,ساقه ساقه
stench,بوی زننده
stencil,پلی کپی کردن
stenciler,الگو ساز
stenograph,الگوی حروف
stenographer,تند نویس
stenography,مختصر نویسی
stentorian,صدا بلند
step,مرحله
step brother,برادر خوانده
step by step,مرحله به مرحله
step daughter,دخترخوانده
step down,کنار رفتن
step father,پدرخوانده
step mother,زن پدر
stepbrother,نابرادری
stepchild,نافرزندی
stepdaughter,دختر خوانده
stepfather,پدراندر
Stephanie Honore,استفانی هونر
stepmother,مادرخوانده
steppe,استپ
stepping down,کناره گیری
steps,مدارج
stepsister,خواهراندر
stepson,فرزند خوانده
stercoraceous,کثافت زی
stercoricolous,کثافت زی
stereograph,برجسته نما کردن
stereophonic,استروفونیک
stereopticon,شهر فرنگ
stereoscope,برجسته بین
stereotype,کلیشه کردن
sterile,بی بار
sterility,بی باری
sterilization,سترون سازی
sterilize,نازا کردن
sterling,لیره استرلینگ
stern,سخت ومحکم
sternal,جناغی
sternness,عبوسی
sternum,جناغ
sternutative,عطسه آور
stethoscope,گوشی
stevedore,بارگیری وباراندازی کردن
stew,طاس کباب
stewardess,مهماندار هواپیما
stewardship,نظارت خرج
stewpan,آبگوشت پز
stichomythia,مکالمات کوتاه
stick,چسبناک کردن
stick in the mud,محافظه کار
stick out,پیش آمدگی داشتن
stick up,برجستگی داشتن
stickability,قابلیت محافظت
sticker,عکس بر گردان
stickiness,چسبناکی
stickler,گیج کننده
sticky,تروچسبناک
stiff,سیخ
stiff necked,گردن کلفت
stiffen,شق کردن
stiffenj,سفت شدن
stiffish,نیمه شق
stiffness,جمود
stigma,لکه ننگ
stile,سنگچین
still,هنوز
stillness,بی حرکتی
stilt,چوب پا
stimulant,مشروب الکلی
stimulate,انگیختن
stimulated,تهییج شده
stimulation,انگیختگی
stimulator,انگیختگر
sting,نیش زدن
stinginess,خسیسی
stinging,گزنده
stingy,کوتاه نظر
stink,بوی بد دادن
stinking,نفرت آور
stinkpot,غذای بدبو
stinky,بد بو
stint,بقناعت واداشتن
stipe,ساقچه
stipendiary,روزی خور
stipulate,قرار گذاشتن
stipulated,مصرح
stipulation,مصرحات
stipulations,مصرحات
stir,بهم زدن
stirabout,جنب وجوش
stirring,هیجان آور
stirrup bone,استخوان رکابی
stirrup holder,رکاب دار
stirve,مجاهدت کردن
stitch,بخیه جراحی
stitched,بخیه ای
stitcher,بخیه زننده
stock,ذخیره سازی کردن
stock certificate,گواهی سهم
stock exchange,بورس
stock in trade,مال التجاره
stockade,مسدود ساختن
stockholder,صاحب موجودی
Stockholm,استکهلم
stocking,جوراب ساقه بلند
stockpile,انباشته کردن
stockyard,محوطه دامداری
stodgy,سنگین وکندرو
stogie,کفش زمخت
stogy,کفش زمخت
stoic,رواقی
stokehold,تون
stokehole,تنوره
stoker,سیخ بخاری
stolen,به سرقت رفته
stolid,فاقد احساس
stomach,یمینه
stomach cramp,درد شکم
stomachache,درد معده
stomach-ache,شکم درد
stomacher,سینه بند
stomachic,شربت اشتهاآور
stomachy,شکم گنده
stomatic,شبیه دهان
stomp,لگد کوبی کردن
stone,سنگسار کردن
stone bench,مصطبه
stone breaker,سنگ شکن
stone carving,سنگ تراشی
stone walling,سنگچینی
stone worker,سنگ کار
stone worshipping,سنگ پرستی
stone-dead,کاملا مرده
stone-hearted,دل سخت
stoning,سنگسار
stony,باسنگ ساختن
stood,ایستادن
stooge,آلت دست شدن
stooges,عمال
stool,چار پایه
stoop,خشوع کردن
stoop to a favor,منت کشیدن
stop,نگه داشتن
stop working,از کار افتادن
stopcock,وسیله توقف
stopgap,دریچه انسداد
stoplight,چراغ ترمز
stoppage,انسداد
stopped,متوقف
stopper,جلوگیری کننده
stopping,مسدد
stopwatch,گام شمار
storable,انبار کردنی
storage,انبارش
storage array,آرایه انباره
storage capacity,گنجایش انباره
storage cell,یاخته انباره
storage location,مکان انباره
storage register,ثبات انباره
storages,مخازن
store,فروشگاه
store window,ویترین
store wood,الوار انباشتن
stored,اندوخته
storekeeper,انباردار
storekeeping,انبار داری
stores,انبار
storied,داستانی
stork,لقلق
storm,باحمله گرفتن
storm trooper,گروه توفان
stormbound,گرفتار توفان
stormy,کولاک دار
stormy weather,هوای منقلب
story,داستان
story writer,حکایت نویس
storyteller,افسانه سرا
storytelling,نقالی
stour,غول آسا
stout,نوعی آبجو
stouten,نیرومند ساختن
stove,فرخوراک پزی
stow away,مسافر قاچاق
strabismus,لوچی
straddle,گشادگشاد راه رفتن
straggle,سرگردان بودن
straight,مستقیما
straight forward,بی رودربایستی
straight line,خط مستقیم
straighten,مستقیم شدن
straightener,صاف کننده
straightforward,صریحاللهجه
straightish,سر راست
straightlaced,شکم بند دار
straightway,سر راست
strain,صافی کردن
strained,صاف کرده
strainer,پالایش کننده
straining,پالا
strait,در مضیقه
straitened situation,تنگنا
straitlaced,شکم بند دار
straits,تنگنا
strake,شکاف سقف
Strakov,استراخوف
stramonium,داتوره
strand,متروک ماندن
strange,غریب
strange thing,غریبه
strangeness,غرابت
stranger,نا محرم
strangers,غرباء
strangulate,خفقان ایجاد کردن
strangulated,مختنق
strangulation,اختناق
strangulatory,اختناقی
strangury,اطام
strap,تسمه زدن
strap shoe,کفش رکابی
strapped,رکاب دار
strategic,استراتژیک
strategist,رزمآرا
strategy,استراتژی
straticulate,طبقه طبقه
stratification,لایه بندی
stratified,رگه دار
stratiform,طبقه مانند
stratify,ورقه ورقه کردن
stratum,طبقه
Straw,استراو
straw boss,مباشر کارگران
straw curtain,پرده حصیری
straw hat,کلاه حصیری
strawberry,توت فرنگی
strawboard,مقوای کاهی
strawy,کاهی
stray cat,گربه ولگرد
straying,بیراهه روی
streak,سپیده دم
streaky,قابل تغییر
stream,مسیل
streamer,نگاری روزنامه
streamlet,نهر کوچک
street,خیابان
street- cleaning,رفتگری
street curb,جدول کنار خیابان
street girl,هم جائی
street layout,خیابان بندی
street sweeper,رفتگر
streetwalker,هر جا گرد
strenghten,نیرومند شدن
strength,تواب و توان
strength of heart,قوت قلب دادن
strength of materials,استقامت مصالح
strengthen,نیرومند کردن
strengthened,مستحکم
strengthening,تقویتی
strenuosness,بذل مساعی
strenuous,فوق العاده
stress,برجسته نمودن
stress verse,قافیه موکد
stressed,مشدد
stressful,پراز پریشانی
stressless,بی نگرانی
stretch,امتداددادن
stretcher,بسط یابنده
stretching,اطاله
strew,نثار کردن
strewment,بهم ریختگی
stria,نوار باریک
striate,مخطط کردن
stricken,مصیبت زده
strict,مقرراتی
strict order,دستور اکید
strictly,اکیداً
strictly speaking,بمعنی اخص
strictness,سختگیری
stricture,باریک بینی
stride,شلنگ انداختن
stridulate,صدا درآوردن
strife,سعی بلیغ
strifeless,بی نزاع
strike,باشدت زدن
strike a match,کبریت زدن
strikeless,بدون ضربت
striker,اعتصاب کننده
striking,گیرنده
string,برشته کشیدن
string along,معوق گذاردن
stringed,طنابی
stringency,تند و تیزی
stringer,نوازنده ساز
strip,برهنه کردن
stripe,راهراه کردن
striped,راهراه
stripes,خطوط
stripy,مخطط
strive,جدیت کردن
striving,مجاهده
stroke,نوازش کردن
strokes,ضربات
stroll,گردیدن
stroller,پرسهزن
stroma,بافت بنیادی
strong,قوی
strong as a lion,شیر زور
strong as an elephant,پیل زور
strong rope,حبل المتین
strong tea,چای پررنگ
stronghold,قلعه نظامی
strongly,شدیدا
strongly worded,شدید اللحن
strop,طناب کوتاه
struck,درحال اعتصاب
structural,ساختمانی
structuralization,بنیان گذاری
structure,ساختمان
structureless,بی ساختمان
struggle,دست وپا کردن
struggle for existence,بغاء تنازع
struggle for survival,تنازع بقاء
struggle with twitches,دست و پا زدن
struggling,گلاویز
strum,مضراب زدن
strumpet,زن بدکار
strunt,بیخ دم
strut,خرامیدن
strutter,خرامنده
strutting,خرامان
stuart,استوارت
stub,ته بلیط
stubaxle,سگدست
stubble,موی نتراشیده
stubbly,شبیه کاهبن
stubborn,خیره سر
stubbornly,لجوجانه
stubbornness,گردن شقی
stubby,سیخ سیخ
stuck,چسباننده
stud,اسب تخمی
studding,ارتفاع اتاق
student,دانش آموز
Students' Day,روز دانشجو
studentship,شاگردی
studio,کارگاه هنری
studious,کتاب خوان
study,درس خواندن
study room,اطاق مطالعه
stuff,چپاندن
stuffed,آگنده
stuffiness,خفگی
stuffing,بوغلمه
stuffless,بی لایه
stuffy,محافظه کار
stuggle,دست و پا کردن
stull,لقمه بزرگ
stultify,احمق کردن
stumble,تلو تلو خوردن
stumbler,تلو تلو خور
stumbling block,موجب لغزش
stump,صدایافتادن چیزسنگین
stumpage,قطع اشجار
stumpy,کوتاه وپهن
stun,حیرت زده کردن
stunned,خیره شدن
stunner,گیج کننده
stunt,شیرین کاری
stupa,گنبد مقبره
stupe,لحافک زخم
stupefacient,گیج کننده
stupefaction,گیج سازی
stupefied,تخدیر شدن
stupefier,گیج کننده
stupefy,تخدیر کردن
stupendous,شگفت انگیز
stupid,حماقت آمیز
stupidity,کند ذهنی
stupidly,بی خردانه
stupidness,کند ذهنی
stupification,احمق ساختن
stupor,کند ذهنی
stuporous,کند ذهن
sturdy,خوش بنیه
sturgeon,ماهی خاویار
stutter,بالکنت حرف زدن
stuttered,لکنتی
sty,در طویله قرار دادن
stye,سنده سلام
style,عبارت
styliform,نیزه مانند
stylish,شیک
stylist,قاضی سلیقه
stylistics,سبک شناسی
stylization,ایجاد سبک
stylize,سبک وار
stylus,نوک سوزنی
styptic,خون بند
subacid,سکنجبینی
subacute,زیرحاد
subadult,نیمه بالغ
subagency,نمایندگی فرعی
subagent,نماینده فرعی
subalfabet,زیرالفبا
subalgorithm,زیرالگوریتم
subaltern,افسر جزء
subapical,زیر راسی
subaqueous,زیر مایع
subarctic,زیرقطبی
subassembly,زیرمجمع
subaudition,ادراک ضمنی
subbing,علی البدل
subcarrier,زیرحامل
subcentral,نزدیک مرکز
subchannel,زیرکانال
subclass,شعبه فرعی
subcoastal,زیردنده
subcommittee,سوکمیسیون
subconscious,درحالت ناخودآگاهی
subconsciousness,ضمیر غیر مستعشر
subcontrariety,ارتباط قیاسی
subcontrary,درجهت متقابل
subculture,فرهنگ فرعی
subdividable,بخشیزه پذیر
subdivide,بخشیزه کردن
subdivider,بخشیزه گر
subdivision,زیرقسمت
subdue,مقهور ساختن
subdued,مقهور
subduer,منکوب کننده
suberter,سرنگون کننده
subfamily,تیره فرعی
subgenus,جنس فرعی
subgroup,زیرگروه
subject,موضوع (فاعل)
subject to,مشمول
subjectivism,موضوعیت
subjectivity,فاعلی بودن
subjectless,بیموضوع
subjects,مطالب
subjugate,زیردست کردن
subjugation,مقهور سازی
sublimate,متصاعد کردن
sublimated,مصعد
sublimation,تصعید
sublime,متعال
subliminal,نیمه خودآگاه
sublimity,علومقام
sublingual,زیرسبانی
submachine gun,مسلسل دستی
submarine,تحت البحری
submerge,غوطه ورساختن
submergence,مخفی سازی
submergible,سیل خیز
submers,غوطه ورساختن
submission,فرمانبرداری
submissive,سربزیر
submissively,مظلومانه
submissiveness,سربزیری
submit,تسلیم داشتن
submodule,زیرپیمانه
submontane,کوهپایهای
subnormal,مادون عادی
suboceanic,زیر اقیانوسی
suboptimization,زیربهینهسازی
suborder,ردیزه
subordinate,زیردست
subordination,فرمان برداری
subotage,خرابکاری
subovate,نیمه بیضی
subphylum,رامزه
subplot,زیرداستان
subpoena,حکم جلب
subprocedure,زیررویه
subprogram,زیربرنامه
subrogate,جانشین دیگری کردن
subroutine,زیرروال
subsaturated,نزدیک به اشباع
subscribe,اشتراک کردن
subscriber,مشترک
subscription,پذیره نویسی
subscription rights,وجهاشتراک
subsequent,زیردنباله
subsequently,متعاقبا
subserve,مخدوم بودن
subservience,زیر زاوری
subserviency,زیر زاوری
subset,زیرمجموعه
subshrub,شاخه فرعی
subside,فروکش کردن
subsided,فروکشی
subsidence,فرو نشینی
subsiding,فرونشانی
subsidize,کمک خرج دادن
subsidy,کمک هزینه
subsist,گذران کردن
subsistence,وسیله معیشت
subsoil,شخم عمیق زدن
subspace,شبه فضا
subspecies,زیر گونه
substance,مفاد
substantiation,اثبات ادعاء
substantive,مقدار زیاد
substantivize,ذاتی کردن
substituent,قابل تعویض
substitute,علیالبدل
substituting,جایگزین
substitution,جانشین سازی
substitutionary,علی البدلی
substratum,طبقه زیر
substruction,زیر ساختمان
substructure,زیر ساختمان
subsumption,نتیجه گیری
subsystem,زیرسیستم
subtend,شامل بودن
subterfuge,طفره زنی
subterranean,تحت الارضی
subterranean canal,کاریز
subtilize,متعال ساختن
subtle difference,اختلاف مختصر
subtlety,زیرکی
subtotal,جمع جزء
subtract,منها کردن
subtraction,تفریق
subtractive,تفریقی
subtrahend,مفروق
subtree,زیردرخت
suburb,بیرون شهر
suburban,برون شهری
suburbs,اطراف شهر
subvention,تخصیص اعانه
subversive,خرابکارانه
subvert,واژگون ساختن
subverter,واژگونگر
subway,مترو
sub-zero temprature,زیر صفر
succeed,به کام دل رسیدن
succeedable,توفیق یافتنی
success,دوستکامی
successful,عاقبت بخیر
successfully,با موفقیت
succession,جانشینی
successively,متواترا
successor,جانشین
succor,موجب کمک
succour,موجب کمک
succulence,پر آبی
succulent,شاداب
succussion,لرزش مایعات
sucession,تسلسل
Such,برای مثال زدن استفاده می‌شود.
such a,آنچنان
such as,از قبیل
such that,به حدی
suchlike,این قبیل
suck,مک زنی
sucked,مکیده
sucker,مکنده
sucking,مک
suckle,طفل رضیع
suckling,بچه شیری
suction,مکش
Sudabeh,سودابه
Sudan,سودان
Sudanese,سودانی
sudden,ناهگهان
sudden death,مرگ مفاجات
suddenly,بی مقدمه
sudds,کف صابون
sudoriferous,عرق زا
sudorific,عرق زا
sudsy,کف دار
sue,تعقیب قانونی کردن
suede,پارچه جیر
suer,شاکی
Suez Canal,کانال سوئز
Suez Min,سوزی مین
suffer,خون جگر خوردن
suffer from,دچار بودن
suffer hardship,مضیقه کشیدن
suffer injury,آسیب دیدن
suffer loss,زیان آوردن
suffer privation,محرومیت کشیدن
suffer revenge,تقاص دادن
sufferer,رنجش کش
suffering,آزمایش سخت
suffice,بسنده بودن
sufficiency,مقدار کافی
sufficient,کافی
sufficiently,بمیزان
suffix,پسوند
suffixation,پسوندگذاری
suffocate,خفه کردن
suffocated,خفه
suffocating,گلو گیر
suffocation,اختناق
suffusion,زیر ریزی
sufi,اهل طریقت
sufism,طریقت
sufistic,متصوف
Sufyeh yusef,صوفیه یوسف
sugar,ماده قندی
sugar apple,سیب دارچینی
sugar bowl,شکر دان
sugar cane,نیشکر
sugar cube,قند
sugar loaf,کله قندی
sugarloaf,کله قندی
sugarplum,گلوله نبات
sugary,شیرین زبان
suger beet,چغندر قند
suggest,بفکرخطور دادن
suggested,القائی
suggestible,تلقین پذیر
suggestion,اظهار عقیده
suggestive,تلقینی
suicidal,مذبوحانه
suicide,خودکشی
suicide attack,عملیات خودکشی
suigeneris,منحصر بفرد
suit,خواستگاری کردن
suitability,درخوردبودن
suitable,بامناسبت
suitableness,فرازروی
suitcase,چمدان مسافری
suite,قطعه موسیقی
suitor,عرضحال دهنده
sulcate,جدول دار
Sulduz,سولدوز
sulfide,سولفوراف
sulfur,سولفور
sulfur dioxide,دیاکسید گوگرد
sulfuric,سولفوریک
sulfuric acid,اسید نیتریک
sulfurous,شبیه گوگرد
sulk,بد اخمی کردن
sulkiness,ترشرویی
sulking,قهر
sulky,بد اخم
sullage,فاضل آب
sullen,غیر معاشر
Sulmaz,سولماز
sulphate,سولفات
sulphur,کبریت
sulphurous,شبیه گوگرد
sultan,سلطان
sultana,سلطانه
sultanate,قلمرو سلطان
sultaness,سلطانه
sultans,سلاطین
sum,مجموع
sumac,سماق
Sumatra,سوماترا
Sumerian,سومری
summarily,جستهو گریخته
summarization,اختصار
summarize,خلاصه کردن
summarized,جستهو گریخته
summary,اختصاری
summer,تابستان
summer school,کلاس تابستانی
summer shoes,گیوه آجیده
summer solstice,انقلاب صیفی
summersault,پشتک زدن
summery,شبیه تابستان
summit,اعلی درجه
summon,احضار قانونی کردن
summonable,فراخواندنی
summoner,فراخواننده
summoning,فراخواننده
summum,ابرنیک
sump,لجن وکثافت
sums,مبالغ
sun,خورشید
sun declination,زیغ الشمس
sun eclipse,آفتاب گرفتگی
sun of a gun,مردکه
sunbeam,تیغ آفتاب
sunburn,آفتاب زدگی
sunburnt,آفتاب زده
Sunday,روز یکشنبه
Sunday night,یکشنبه شب
Sunday Times,ساندی تایمز
sundries,خردهریز
sunflower,گل آفتاب پرست
sunglass,عینک دودی
sunglasses,عینک دودی
sunken,غرق شده
sunless,بی آفتاب
sunni,اهل سنت
sunnism,مذهب تسنن
Sunnite,سنی
sunny,آفتاب گیر
sunrise,طلوع خورشید
sunset,افول
sunshade,آفتاب گردان
sunshine,نور آفتاب
sunstroke,آفتاب زدگی
sunstruck,آفتاب زده
super,اعلاء
super abundance,وفور نعمت
Super Computer,ابر کامپیوتر
Super Jumbo Jet,سوپر جمبو جت
super market,سوپرمارکت
superabundance,استفاضه
superadd,سربار کردن
superb,بسیار خوب
supercomputer,فوق کامپیوتر
superconductivity,فوق هدایت
superconductor,فوق هادی
superego,نفس اماره
superelevation,درجه ارتفاع
supereminence,علو مقام
supererogatory,غیر ضروری
superficial,بی مایه
superficial knowledge,بیمایگی
superficial observer,ضاهر بین
superficially,صورتا
superfine,بسیار ظریف
superfluous,غیر ضروری
superhighway,اتوبان
superhuman,مافوق انسانی
superimposable,قابل تحمیل
