x,en,es,de,fa,ar
Ukraine,Ukraine,Ucrania,Ukraine,اوکراین,أوكرانيا
Ukrainian,Ukrainian,ucranio,ukrainisch,اوکراینی,الأوكرانية
Ukranian,Ukranian,Ucrania,Ukraine,اکراین,أوكرانيا
Ulcer,Ulcer,"Úlcera de estómago",Magengeschwür,"زخم معده","قرحة المعدة"
Ulcerate,Ulcerate," Producción de úlceras"," Geschwürbildung","تولید قرحه	"," إنتاج القرحة"
Ulcerous,Ulcerous,Ulcerosa,Ulzerativ,"قرحه دار",تقرحي
Ulna,Ulna,"Zand Zirn","Zand Zirn","زند زیرن","زاند زرن"
Ultimate,Ultimate,Último,Zuletzt,بازپسین,آخر
Ultimately,Ultimately,Eventualmente,Letztlich,مآلاً,مؤخراً
Ultimatum,Ultimatum,"Última oferta","Letztes Angebot","آخرین پیشنهاد","العرض الأخير"
Ultra,Ultra,"Más allá de","Darüber hinaus",ماورای,وَرَاءَ
"Ultra Solar System","Ultra Solar System","Más allá del sistema solar","Jenseits des Sonnensystems","ماوراء منضومه شمسی","ما وراء النظام الشمسي"
Ultraism,Ultraism,"Trabajo excesivo",Überarbeitung,"افراط کاری",إرهاق
Ultramodern,Ultramodern,François,Frano,فرانو,فرانو
Ultramodernist,Ultramodernist,Frenético,Hektisch,"فرانو گرای",محموم
Ultramontane,Ultramontane,"Más allá de las montañas","Jenseits der Berge","ماوراء کوهها","ما وراء الجبال"
Ultramundane,Ultramundane,"Más allá del mundo","Jenseits der Welt","ماورا جهان","ما وراء العالم"
Ultrared,Ultrared,Infrarrojo,Infrarot,فراقرمز,"الأشعة تحت الحمراء"
"Ultrasonic Frequency","Ultrasonic Frequency","Frecuencia ultrasónica",Ultraschallfrequenz,"بسامد فراصوتی","التردد فوق الصوتي"
Ultraviolet,Ultraviolet,Ultravioleta,Ultraviolett,"ماوراء بنفش","الأشعة فوق البنفسجية"
"Ultraviolet Light","Ultraviolet Light","rayos ultravioleta","Ultraviolette Strahlen","اشعه فرابنفش","الأشعة فوق البنفسجية"
Ululant,Ululant,Planchazo,Heuler,"زوزه کش",المولول
Ululation,Ululation,Clamoroso,Heulen,"زوزه کشی",عواء
Umbellate,Umbellate,Paraguas,Regenschirm,چتری,مظلة
Umbelliform,Umbelliform,"En forma de paraguas",Schirmförmig,"چتری شکل","على شكل مظلة"
Umbilical,Umbilical,Ombligo,Nabel,نافی,سرة
Umbilicate,Umbilicate,Umbilical,Nabelschnur,نافدار,السرة
Umbra,Umbra,"Mancha oscura","Dunkler Fleck","نقطه تاریک","بقعة داكنة"
Umbrageous,Umbrageous,Sombreado,Schattig,"سایه دار",ظليلة
Umbrella,Umbrella,"Paraguas de lluvia",Regenschirm,"چتر بارانی","مظلة المطر"
Umpire,Umpire,"Juez principal","Oberster Richter",سرداور,"رئيس القضاة"
Umpteen,Umpteen,"Atención a","Aufmerksamkeit auf","معتنی به","الاهتمام ب"
Umpteenth,Umpteenth,"Atención a","Aufmerksamkeit auf","معتنی به","الاهتمام ب"
Unaadorned,Unaadorned,"Sin adornos",Schmucklos,"بی پیرایه","غير مزخرف"
Unabated,Unabated,Inestable,Unruhig,"فرو ننشسته","غير مستقر"
Unable,Unable,Deprimido,Gedrückt,فرومانده,محبَط
"Unable to retrieve your location","Unable to retrieve your location","No se puede recuperar tu ubicación. Por favor","Ihr Standort konnte nicht abgerufen werden","بازیابی موقعیت مکانی شما امکان پذیر نیست","تعذر استرداد موقعك"
"Unable to retrieve your location. Please allow location access.","Unable to retrieve your location. Please allow location access.","No se puede recuperar tu ubicación. Por favor, permite el acceso a la ubicación.","Ihr Standort konnte nicht abgerufen werden. Bitte erlauben Sie den Standortzugriff.","بازیابی موقعیت مکانی شما امکان پذیر نیست. لطفاً دسترسی به موقعیت مکانی را مجاز کنید.","تعذر استرداد موقعك. يُرجى السماح بالوصول إلى الموقع."
Unabridged,Unabridged,"No resumido","Nicht zusammengefasst","تلخیص نشده","لم يتم تلخيصه"
Unacceptable,Unacceptable,Inaceptable,Inakzeptabel,غیرمقبول,"غير مقبول"
Unaccommodated,Unaccommodated,"No proporcionado","Nicht vorgesehen","فراهم نشده","غير متوفر"
Unaccompanied,Unaccompanied,"Sin compañero","Ohne Begleitung","بدون مصاحب","بدون رفيق"
Unaccountable,Unaccountable,árabe,Arabisch,عریب,عربي
Unaccounted,Unaccounted,"No contabilizado","Nicht gezählt","بحساب نیامده","غير محسوب"
Unaccustomed,Unaccustomed,"No adictivo","Macht nicht süchtig",غیرمعتاد,"غير مسبب للإدمان"
Unaddicted,Unaddicted,"No adictivo","Macht nicht süchtig",غیرمعتاد,"غير مسبب للإدمان"
Unadulterated,Unadulterated,"Sin mezclar",Unvermischt,"مخلوط نشده","غير مختلط"
Unaligned,Unaligned,Desorganizado,Unorganisiert,"غیر متشکل","غير منظم"
Unallowable,Unallowable,"No autorizado","Nicht autorisiert",غیرمجاز,"غير مصرح به"
Unalloyed,Unalloyed,"Sin aleación","Keine Legierung","بدون آلیاژ","لا يوجد سبيكة"
Unalterable,Unalterable,"No variable","Nicht variabel","غیر متغیر","غير متغير"
Unambiguous,Unambiguous,Indirectamente,Indirekt,"بی صراحت","بشكل غير مباشر"
Unanimity,Unanimity,Consenso,Konsens,همرائی,إجماع
Unanimous,Unanimous,"Los aliados de Al-Rai","Al-Rais Verbündete","متفق الرای","حلفاء الراي"
Unanimously,Unanimously,"Por consenso","Im Konsens","با اتفاق آراء",بالإجماع
"Unanimously Agreed","Unanimously Agreed","Unidos contra","Vereint gegen","متفق علیه","متحدون ضد"
"Unanimously Agreed Upon","Unanimously Agreed Upon","Unidos contra","Vereint gegen","متفق علیه","متحدون ضد"
Unanswerable,Unanswerable,Incontestable,Unbeantwortbar,"جواب ناپذیر","غير قابلة للإجابة"
Unanticipated,Unanticipated,Imprevisto,Unvorhergesehen,"پیشبینی نشده","غير متوقع"
Unappealing,Unappealing,Irrazonable,Unvernünftig,"غیر منطقی","غير معقول"
Unappeasable,Unappeasable,"Poco convincente","Nicht überzeugend","اقناع نشدنی","غير مقنع"
Unapt,Unapt,Desproporcionado,Unverhältnismäßig,"غیر متناسب","غير متناسب"
Unarm,Unarm," Desarmamiento"," Abrüstung","خلع سلاح	"," نزع السلاح"
Unarmed,Unarmed,"No equipado","Nicht ausgestattet","مجهز نشده","غير مجهز"
Unary,Unary,Unidad,Einheit,یگانی,الوحدة
"Unary Operation","Unary Operation","Acción unitaria","Einheitliche Aktion","عمل یگانی","العمل الوحدوي"
"Unary Operator","Unary Operator","Operador unitario","Einheitlicher Operator","عملگر یگانی","عامل موحد"
Unasked,Unasked,"No reclamado","Nicht beansprucht","مطالبه نشده","غير مطالب به"
Unassailable,Unassailable,Inexpugnable,Unangreifbar,"غیرقابل حمله","غير قابل للهجوم"
Unattended,Unattended,Descuidado,Sorglos,"بی مراقبت",مهمل
Unattractive,Unattractive,"Sin dudarlo","Ohne zu zögern","بی ملاحت","بدون تردد"
Unauthorized,Unauthorized,"No autorizado","Nicht autorisiert","غیر مجاز","غير مصرح به"
Unavailable,Unavailable,"Sin acceso","Kein Zugriff","بدون دسترسی","لا يوجد وصول"
Unavoidable,Unavoidable,Inevitable,Unvermeidlich,"چاره ناپذیر",حتمي
Unaware,Unaware,Inconscientemente,Unbewusst,"ناخود آگاهانه","دون وعي"
Unawareness,Unawareness,Ignorancia,Unwissenheit,"بی اطلاعی",الجهل
Unawares,Unawares,Inconscientemente,Unbewusst,"ناخود آگاهانه","دون وعي"
Unbalance,Unbalance," Desequilibrado"," Unausgeglichen","غیر متعادل	"," غير متوازن"
Unbalanced,Unbalanced,Desequilibrado,Unausgeglichen,نامتعادل,"غير متوازن"
Unbeatable,Unbeatable,Invencible,Unbesiegbar,"باخت ناپذیر","لا يقهر"
Unbeaten,Unbeaten,Invicto,Unbesiegt,"شکست نخورده","لم يهزم"
Unbecoming,Unbecoming,"No me gustó","Nicht gemocht",ناپسندیده,"لم يعجبني"
Unbelievable,Unbelievable,Incredulidad,Unglaube,"باور نداشتن","عدم التصديق"
Unbeliever,Unbeliever,"No creyente",Ungläubige,"غیر مومن",كافر
Unbelievin,Unbelievin,"No creyente",Ungläubige,"غیر مومن",كافر
Unbiased,Unbiased,"Sin precedentes",Beispiellos,"بی پیشقدر","غير مسبوق"
"Unbleached Calico","Unbleached Calico",Transferir,Überweisen,متقال,تحويل
Unblenched,Unblenched,"Sin confusión",Unverwirrt,"غیر مشوش","غير مرتبك"
Unbored,Unbored,Insatisfecho,Unzufrieden,ناسفته,"غير راضٍ"
Unborn,Unborn,"Aún no nacido","Noch nicht geboren","هنوززاده نشده","لم يولد بعد"
Unbound,Unbound,"Sin límites",Ungebunden,"مقید نشده","غير مجلد"
Unbranched,Unbranched,"Sin ramificaciones","Keine Verzweigung","بدون انشعاب","لا يوجد تفريع"
Unbreakable,Unbreakable,Irrompible,Unzerbrechlich,ناگسستنی,"غير قابل للكسر"
Unbred,Unbred,Inculto,Unkultiviert,"پرورش نیافته","غير مثقف"
Unbridle,Unbridle," Desenfrenado"," Ungezügelt","لجام گسیخته	"," جامح"
Unbridled,Unbridled,Desenfrenado,Ungezügelt,"بی لجام",جامح
Unbroken,Unbroken,Intacto,Ungebrochen,ناشکسته,"غير منكسر"
Unburden,Unburden," Ligero",Leicht,"سبکبار	","خفيف الوزن"
Unburnable,Unburnable,Incombustible,"Nicht brennbar",سوختهنشدنی,"غير قابل للاشتعال"
Unbutton,Unbutton," Botón abrir"," Schaltfläche „Öffnen“","دکمه باز	"," زر الفتح"
Uncalled,Uncalled,"No solicitado",Unaufgefordert,ناطلبیده,"غير مرغوب فيه"
"Uncalled For","Uncalled For",Innecesario,Unnötig,"غیر ضروری","غير ضروري"
Unceasing,Unceasing,"Sin fin",Endlos,"پایان ناپذیر","لا نهاية لها"
Unceremonious,Unceremonious,"Poco ceremonioso",Unzeremoniell,"بی تشریفات","غير رسمي"
Uncertain,Uncertain,"Sin tarea","Ohne Hausaufgaben","بلا تکلیف","بدون واجبات منزلية"
Uncertainty,Uncertainty,Desconocido,Unbekannt,نامعلومی,مجهول
Unchallenged,Unchallenged,"No hay objeciones","Keine Einwände","بلا معارظ","لا اعتراضات"
Unchanged,Unchanged,"No ha cambiado","Nicht geändert","عوض نشده","لم يتغير"
Uncharged,Uncharged,"No contabilizado","Nicht gezählt","محسوب نشده","غير محسوب"
Uncharitable,Uncharitable,"No es bueno","Nicht gut","بی خیر","ليس جيدا"
Uncharming,Uncharming,"Sin dudarlo","Ohne zu zögern","بی ملاحت","بدون تردد"
Uncharted,Uncharted,Inexplorado,Unerforscht,"اکتشاف نشده","غير مستكشف"
Unchaste,Unchaste,"Falda sucia","Schmutziger Rock","آلوده دامن","تنورة متسخة"
Unchastity,Unchastity,Deshonroso,Unehrenhaft,"بی ناموسی","غير شريف"
Unchristian,Unchristian,"No cristiano",Nichtchristlich,"غیر مسیحی","غير مسيحي"
Uncial,Uncial,"Una doceava parte","Ein Zwölftel","یک دوازدهمی","واحد على اثني عشر"
Uncinate,Uncinate,Enganchado,Süchtig,"قلاب دار","مدمن مخدرات"
Uncircumcised,Uncircumcised,Gentil,Nichtjude,"غیر یهودی","غير اليهود"
Uncivil,Uncivil,Incivilizado,Unzivilisiert,"بی تمدن","غير متحضر"
Uncivility,Uncivility,Incivilizado,Unzivilisiert,"بی تمدنی","غير متحضر"
Uncivilized,Uncivilized,Incivilizado,Unzivilisiert,"غیر متمدن","غير متحضر"
Unclaimed,Unclaimed,"Sin ninguna objeción","Ohne Einwände","بلا معارض","بدون أي اعتراضات"
Unclassified,Unclassified,"Sin clasificar","Nicht gewertet","بی درجه","غير مصنف"
Uncle,Uncle,Tío,Onkel,دایی,عم
"Uncle Sam","Uncle Sam","Tío Sam","Onkel Sam","عمو سام","العم سام"
Unclean,Unclean,Malsano,Ungesund,"غیر سالم","غير صحي"
Unclear,Unclear,"No conceptual",Nicht-konzeptuell,"غیر مفهوم","غير مفاهيمي"
Uncloak,Uncloak," Sin bata"," Ohne Robe","بی ردا	"," بدون رداء"
Unclothe,Unclothe," Desnudo"," Nackt","برهنه	"," عاريًا"
Unco,Unco,Extraño,Fremder,"شخص غریبه",غريب
Uncoditioned,Uncoditioned,"No confirmado","Nicht bestätigt","قطعی نشده","لم يتم تأكيده"
Uncomfortable,Uncomfortable,Desagradable,Unangenehm,ناخوشایند,"غير سار"
Uncommon,Uncommon,"Poco común",Ungewöhnlich,"غیر متداول","غير شائع"
Uncommunicative,Uncommunicative,Tranquilo,Ruhig,"کم حرف",هادئ
Uncompared,Uncompared,"No actor",Nicht-Schauspieler,"غیر ممثل","غير ممثل"
Uncomplimentary,Uncomplimentary,"Sin ninguna duda","Ohne zu zögern","بی تعارف","بدون أي تردد"
Uncompromising,Uncompromising,Intransigente,Kompromisslos,"مصالحه ناپذیر","لا هوادة فيها"
Uncomputable,Uncomputable,Incalculable,Unberechenbar,"محاسبه ناپذیر","لا يمكن حسابه"
Unconcern,Unconcern,Desinterés,Desinteresse,"عدم علاقه","عدم الاهتمام"
Unconcerned,Unconcerned,"Sin sudor",Schweißlos,"بی عرقه","بدون عرق"
Unconditional,Unconditional,Incondicionalmente,Bedingungslos,"بلا شرتط","دون قيد أو شرط"
Unconfirmed,Unconfirmed,Aerotransportado,"In der Luft","پادر هوا","محمول جواً"
Unconnected,Unconnected,Irrelevante,Irrelevant,نامربوط,عَرَضِيّ
Unconquerable,Unconquerable,Inconquistable,Unbesiegbar,تسخیرناپذیر,"لا يقهر"
Unconscionable,Unconscionable,Irrazonable,Unvernünftig,"غیر معقول","غير معقول"
Unconscious,Unconscious,"Mente subconsciente",Unterbewusstsein,"ضمیر ناخودآگاه","العقل الباطن"
Unconsciousness,Unconsciousness,inconsciencia,Bewusstlosigkeit,"بی هوشی","فقدان الوعي"
Unconsidered,Unconsidered,"No considerado",Unberücksichtigt,نسنجیده,"غير مدروس"
Unconstitutional,Unconstitutional,"Contrario al constitucionalismo","Im Gegensatz zum Konstitutionalismus","برخلاف مشروطیت","على عكس الدستورية"
Uncontaminated,Uncontaminated,"Libre de contaminación",Schadstofffrei,"بدون آلودگی","خالية من التلوث"
Uncontrollable,Uncontrollable,Imparable,Unaufhaltsam,"غیرقابل جلوگیری","لا يمكن إيقافه"
Uncooked,Uncooked,Crudo,Ungekocht,نپخته,نيء
Uncoordinated,Uncoordinated,"Sin coordinación","Ohne Koordination","بدون هماهنگی","بدون تنسيق"
Uncorrelated,Uncorrelated,"No relacionado","Nicht verwandt",ناهمبسته,"غير ذات صلة"
Uncounted,Uncounted,"No contabilizado","Nicht gezählt","شمرده نشده","غير محسوب"
Uncouth,Uncouth,Nastarde,Nastarde,ناسترده,ناستارد
Uncover,Uncover," Descubierto"," Aufgedeckt","بی پوشش	"," مكشوفة"
Uncoverd,Uncoverd,"Aire libre",Freiluft,روباز,"في الهواء الطلق"
Uncovered,Uncovered,Descubierto,Aufgedeckt,"بی پوشش",مكشوفة
Uncovering,Uncovering,Arriba,Gemeinkosten,روبرداری,"النفقات العامة"
Uncreated,Uncreated,"No creado","Nicht erstellt","غیر مخلوق","غير مخلوق"
Uncritical,Uncritical,"No crítico","Nicht kritisch","غیر انتقادی","غير حرجة"
Unction,Unction,"Aplicación de ungüento","Salbe auftragen","مرهم گذاری","وضع المرهم"
Unctuous,Unctuous,Burlón,Spöttisch,"مداهنه آمیز",ساخر
Uncultivated,Uncultivated,"Sin afeitar y sin rasguños","Unrasiert und unverkratzt","نتراشیده و نخراشیده","غير محلوق وغير مخدوش"
Uncurl,Uncurl," Sin horno"," Ohne Backofen","بی فر	"," بدون فرن"
Uncut,Uncut,"Sin cortar",Ungeschnitten,"بریده نشده","غير مختصر"
Undated,Undated,"Sin fecha",Undatiert,"بی تاریخ","بدون تاريخ"
Undecided,Undecided,Indeciso,Unentschlossen,"غیر مصمم","غير حاسم"
Undecorated,Undecorated,"Sin adornos",Schmucklos,"بی پیرایه","غير مزخرف"
Undefeatablity,Undefeatablity,Invencibilidad,Unbesiegbarkeit,"شکست ناپذیری","لا تقهر"
Undemonstrative,Undemonstrative,Irrazonable,Unvernünftig,"غیر مدلل","غير معقول"
Undeniable,Undeniable,Innegable,Unbestreitbar,"انکار ناپذیر","لا ينكر"
Undeprivable,Undeprivable,Inalienable,Unveräußerlich,"محروم نشدنی","غير قابل للتصرف"
Under,Under,Abajo,Unten,زیر,أقل
"Under Interrogation","Under Interrogation","Bajo interrogatorio","Unter Verhör","تحت بازجویی","تحت الاستجواب"
"Under Repair","Under Repair","Bajo reparación","In Reparatur","در دست تعمیر","تحت الإصلاح"
"Under The Attention Of","Under The Attention Of","Está siendo considerado","In Erwägung","تحت توجه","قيد الدراسة"
"Under The Name Of","Under The Name Of","Bajo el título","Unter dem Titel","تحت عنوان","تحت عنوان"
"Under The Notion That","Under The Notion That","Imaginar que","Sich vorzustellen, dass","به تصور این که","لنتخيل ذلك"
"Under The Presumption That","Under The Presumption That","Bajo La Presunción De Que","Unter Der Annahme, Dass","تحت این فرض که","على افتراض أن"
"Under The Pretence That","Under The Pretence That","Con el pretexto de que","Unter dem Vorwand, dass","به بهانه اینکه","بحجة أن"
"Under The Protection Of","Under The Protection Of","Bajo protección","Unter Schutz","تحت حفاظت","تحت الحماية"
"Under Way","Under Way","En curso","Im Gange","دردست اقدام","في تَقَدم"
Underage,Underage,"El año pasado","Letztes Jahr",فروسال,"العام الماضي"
Underarm,Underarm,Axila,Achsel,زیربغل,إبط
Underbelly,Underbelly,"Parte inferior",Unterleib,زیرشکم,"البطن السفلي"
Underbody,Underbody,"Debajo del cuerpo","Unter dem Körper","زیر تنه","تحت الجسم"
Underbred,Underbred,Inmaduro,Unreif,"نااصل زاده","غير ناضج"
Underchin,Underchin,"Debajo de la mandíbula","Unter dem Kiefer","زیر فک","تحت الفك"
Underclothes,Underclothes,Camiseta,Unterhemd,"زیر پیراهنی","قميص داخلي"
Underclothing,Underclothing,Camiseta,Unterhemd,"زیر پیراهنی","قميص داخلي"
Undercoat,Undercoat,"Poner masilla en algo","Etwas kitten","بتونه کاری کردن","معجون شيء ما"
Undercover,Undercover,"Bajo el mar","Unter dem Meer","زیر جلی","تحت البحر"
Undercroft,Undercroft,"Sala de la iglesia",Kirchenraum,"اتاق کلیسا","غرفة الكنيسة"
Undercurrent,Undercurrent,"Tendencia subyacente",Unterströmung,"جریان تحتانی","التيار الخفي"
Undercut,Undercut,"Detrás del laberinto","Hinter dem Labyrinth","پشت مازه","خلف المتاهة"
Underdeveloped,Underdeveloped,Subdesarrollado,Unentwickelt,"توسعه نیافته","غير متطور"
Underdrawers,Underdrawers,Calzoncillos,Unterhose,"زیر شلواری","الملابس الداخلية"
Underestimate,Underestimate,Subestimar,Unterschätzen,"ناچیز پنداشتن","التقليل من شأن"
Underestimation,Underestimation,Negligencia,Fahrlässigkeit,"ناچیز شماری",الإهمال
Underflow,Underflow,París,Paris,پاریز,باريس
Underfoot,Underfoot,"Delante de la carretera","Vor der Straße","جلو راه","أمام الطريق"
Undergarment,Undergarment,Vestirse.,"Zieh dich an.","لباس بزیر","ارتدي ملابسك."
Undergo,Undergo,"Soportar algo","Etwas ertragen","متحمل چیزی شدن","لتحمل شيء ما"
"Undergo Mortification","Undergo Mortification","A la austeridad","Zur Sparpolitik","ریاضت کشیدن","إلى التقشف"
"Undergo Surgery","Undergo Surgery","Sometiéndose a una cirugía","Sich einer Operation unterziehen","تحت عمل جراحی قرار گرفتن","خضوع لعملية جراحية"
Underground,Underground,Subterráneo,Untergrund,زیرزمینی,"تحت الأرض"
Undergrowth,Undergrowth,"Bajo la planta","Unter der Pflanze","زیر گیاه","تحت النبات"
Underhand,Underhand,"Bajo el mar","Unter dem Meer","زیر جلی","تحت البحر"
Underlay,Underlay,"Capa inferior",Unterschicht,"لایه زیرین","الطبقة السفلية"
Undermost,Undermost,"El más bajo","Der niedrigste","زیر ترین",الأدنى
Underneath,Underneath,"Desde abajo","Von unten","از زیر","من الأسفل"
Undernourished,Undernourished,Desnutrido,Unterernährt,"گرفتارسوء تغذیه","سوء التغذية"
Undernourishment,Undernourishment,Desnutrido,Unterernährt,"گرفتارسوء تغذیه","سوء التغذية"
Underpants,Underpants,Calzoncillos,Unterhose,"زیر شلواری","الملابس الداخلية"
Underpart,Underpart,"Parte inferior",Unterteil,"بخش تحتانی","الجزء السفلي"
Underpass,Underpass,"Bajo la carretera","Unter der Straße","زیرین راه","تحت الطريق"
Underpin,Underpin,"Para sentar las bases","Den Grundstein legen","پی بندی کردن","لوضع الأساس"
Underpinning,Underpinning,Base,Stiftung,"پی بندی",مؤسسة
Underprivileged,Underprivileged,"Baja inmunidad","Geringe Immunität","کم امیتاز","انخفاض المناعة"
Underrate,Underrate,Subestimar,Unterschätzen,"ناچیز شمردن","التقليل من شأن"
Underscore,Underscore,"En resumen",Fazit,"زیرین خط","خلاصة القول"
Undersea,Undersea,"Bajo el mar","Unter dem Meer","زیر دریا","تحت البحر"
Undersecratary,Undersecratary,"Viceministro del Interior","Stellvertretender Innenminister","معاون وزارت خانه","نائب وزير الداخلية"
Undersecretary,Undersecretary,Viceministro,"Stellvertretender Minister","معاون وزارتخانه","نائب الوزير"
Undershirt,Undershirt,"Absorbente de sudor",Schweißabsorber,عرقگیر,"ممتص العرق"
Underside,Underside,Dorney,Dorney,دورنی,دورني
Undersign,Undersign,"Bajo la sábana","Unter dem Laken","درزیر ورقه","تحت الورقة"
Underskin,Underskin,Subcutáneo,Subkutan,زیرپوست,"تحت الجلد"
Underskirt,Underskirt,Enaguas,Unterrock,زیردامنی,"تنورة داخلية"
Understand,Understand,"Tomar conciencia","Bewusst werden","آگاهی یافتن",الوعي
Understandable,Understandable,"Cuenta por cobrar",Forderungen,دریافتنی,"مستحق القبض"
Understanding,Understanding,"Comprensión racional","Rationales Verständnis","درک عقلانی","الفهم العقلاني"
Understatement,Understatement,"Ocultando la verdad","Die Wahrheit verbergen","کتمان حقیقت","إخفاء الحقيقة"
Understood,Understood,Útil,Nützlich,مستفاد,مفيد
Understrapper,Understrapper,"Persona real","Echte Person","شخص حقیقر","شخص حقيقي"
Undersurface,Undersurface,"Existencia debajo de la superficie","Existenz unter der Oberfläche","موجود درزیرسطح","الوجود تحت السطح"
Undertake,Undertake,"Estar a cargo de","Verantwortlich sein für","به عهده داشتن","أن تكون مسؤولا عن"
Undertaker,Undertaker,Fiador,Antwortender,"جواب گو",المُجيب
Undertaking,Undertaking,Empresa,Unternehmen,عهدهگیری,تعهد
Undertone,Undertone,"Voz baja",Unterton,"ته رنگ","نغمة خفية"
Undervarious,Undervarious,"Bajo varios nombres","Unter verschiedenen Namen","بعناوین گوناگون","تحت أسماء مختلفة"
Underwater,Underwater,Submarino,Unterwasser,"زیر آبزی","تحت الماء"
Underwear,Underwear,"Ropa interior",Unterwäsche,"لباس زیر","الملابس الداخلية"
Underweight,Underweight,"Pérdida de peso",Gewichtsverlust,"کسر وزن","فقدان الوزن"
Underwood,Underwood,"Bajo el arbusto","Unter dem Busch","زیر بوته","تحت الأدغال"
Underworld,Underworld,Inframundo,Unterwelt,"زیرین جهان","العالم السفلي"
Undeserving,Undeserving,Insultante,Beleidigend,ناسزاوار,مهين
Undesirability,Undesirability,Inadecuación,Untauglichkeit,نامرغوبی,"عدم الملاءمة"
Undesirable,Undesirable,"Serán desagradables.","Sie werden unangenehm sein.","ناخوش آیند","سوف تكون غير سارة."
Undetectable,Undetectable,Inencontrable,Unfindbar,نایافتنی,"غير قابل للعثور عليه"
Undetected,Undetected,"Sin descubrir",Unentdeckt,"کشف نشده","غير مكتشف"
Undetermined,Undetermined,Indefinido,Unbestimmt,"غیر معین","غير محدد"
Undeviating,Undeviating,"Sin desviación","Keine Abweichung","بدون انحراف","لا انحراف"
Undirected,Undirected,"Sin guía",Ungeführt,"هدایت نشده","غير موجه"
Undisciplined,Undisciplined,Indisciplinado,Undiszipliniert,"بی انضبات","غير منضبط"
Undisputed,Undisputed,"Sin objeción","Ohne Einwände","بی مخالفت","بدون اعتراض"
Undissolveable,Undissolveable,Insoluble,Unlöslich,غیرمحلول,"غير قابل للذوبان"
Undistinguishable,Undistinguishable,"No limpio","Nicht sauber","تمیز ندادنی","غير نظيف"
Undisturbed,Undisturbed,"Sin perturbaciones",Ungestört,"مختل نشده","غير مضطرب"
Undividable,Undividable,Indivisible,Unteilbar,"بخش ناپذیر","غير قابل للتجزئة"
Undo,Undo,Neutralizar,Neutralisieren,بیاثرکردن,تحييد
Undoubtedly,Undoubtedly,"Sin lugar a dudas","Ohne Zweifel","بدون تردید","بلا شك"
Undress,Undress,Desvestirse,Ausziehen,"لباس کندن",تعري
Undue,Undue,Innecesario,Unnötig,"غیر ضروری","غير ضروري"
Undulant,Undulant,Ondulado,Wellig,"موج دار",مائج
Undulate,Undulate," Ondulado"," Wellig","موجدار	"," مائج"
Undulation,Undulation,Zorobabel,Serubbabel,زیروبم,زربابل
Undulatory,Undulatory,Ondulado,Wellig,موجی,مائج
Undutiful,Undutiful,"No conocer tus deberes","Deine Pflichten nicht kennen","وظیفه نشناسی","عدم معرفة واجباتك"
Undying,Undying,Inmortal,Unsterblich,"غیر فانی",أبدي
Unearth,Unearth,"Para derribar","Zum Abnehmen","از زیر درآوردن",لإسقاط
Unearthly,Unearthly,Extraterrestre,Außerirdisch,غیرزمینی,"خارج كوكب الأرض"
Uneasiness,Uneasiness,Inquietud,Unruhe,"بی آرامی",الأرق
Uneasy,Uneasy,Inquieto,Unruhig,"بی آرام",قلق
Unedible,Unedible,"Ir Makol","Ir Makol","عیر ماکول","إير ماكول"
Uneducated,Uneducated,Ignorante,Unwissend,"بی معرفت",جاهل
Unemotional,Unemotional,"Sin emociones","Keine Emotionen","بدون احساسات","لا مشاعر"
Unemploy,Unemploy," Desempleados"," Arbeitslos","بی کار	"," غير موظف"
Unemployable,Unemployable,"Reclutamiento no fábula",Non-Fable-Rekrutierung,"غیرفابل استخدام","التوظيف غير الخيالي"
Unemployed,Unemployed,"En uso","Im Einsatz","بکار بیفتاده","قيد الاستخدام"
Unemployment,Unemployment,Desempleo,Arbeitslosigkeit,"عدم اشتغال",البطالة
"Unemployment Benefits","Unemployment Benefits","Servicios de desempleo",Arbeitslosendienste,"خدمات بیکاری","خدمات البطالة"
"Unemployment Crisis","Unemployment Crisis","Crisis del desempleo",Arbeitslosigkeitskrise,"بحران بیکاری","أزمة البطالة"
Unenduring,Unenduring,Insostenible,"Nicht nachhaltig","بی دوام","غير مستدام"
Unenthusiastic,Unenthusiastic,Insípido,Geschmacklos,"بی ذوق","لا طعم له"
Unequal,Unequal,"No uniforme",Ungleichmäßig,غیریکنواخت,"غير موحد"
Unequipped,Unequipped,"No equipado","Nicht ausgestattet","مجهز نشده","غير مجهز"
Unequivocal,Unequivocal,"Sin ambigüedad","Ohne Zweideutigkeit","بدون ابهام","بدون غموض"
Unerring,Unerring,Inequívoco,Unverkennbar,"اشتباه نشدنی","لا لبس فيها"
Unesco,Unesco,UNESCO,UNESCO,یونسکو,اليونسكو
Unessential,Unessential,Innecesario,Unnötig,"غیر ضروری","غير ضروري"
Uneven,Uneven,Bruto,Rauh,ناهموار,خشن
Unevenness,Unevenness,Aspereza,Rauheit,ناهمواری,خشونة
Uneventful,Uneventful,"Sin incidentes","Ohne Zwischenfälle","بی حادثه","بدون حوادث"
Unexampled,Unexampled,"No paralelo","Nicht parallel","غیر موازی","غير متوازي"
Unexceptionable,Unexceptionable,Intachable,Einwandfrei,"استثناء ناپذیر","لا يمكن الاعتراض عليه"
Unexpected,Unexpected,"Otras cosas por venir","Weitere Dinge, die kommen","غیره مترقبه","أشياء أخرى قادمة"
